_id,results.Array_increment_by_map.performance,results.Array_increment_by_map.rme,results.Array_increment_by_for.performance,results.Array_increment_by_for.rme,results.Wasm_increment_by_map.performance,results.Wasm_increment_by_map.rme,results.Wasm_increment_by_for.performance,results.Wasm_increment_by_for.rme,subject.name,subject.value
5fde065852d8272478ff403f,1537561.4267635613,1.0414212279082642,3117917.2432312905,0.1952832343769504,193706.82693100855,2.657822656921534,3094667.208582989,0.6907739219769611,array_size,384
5fde068652d8272478ff4042,6902656.54157653,1.8605184577879155,13498491.702509321,0.5938377180558561,708669.1131960703,1.6599836326014428,13461481.423728025,0.8530146607008315,array_size,80
5fde06a852d8272478ff4045,1119906.1716314694,1.1776810007829797,2296259.1915854234,0.5130176955677378,135777.30881994142,1.6711333076078596,2278891.0607765964,0.5281643255251591,array_size,528
5fde06a852d8272478ff4046,932326.535044637,4.7511849909145125,1951064.6668097521,0.2779538070316593,126019.615150374,2.3418491637400636,1941569.889501239,0.19832074950724646,array_size,624
5fde06b552d8272478ff404a,595916.1821488906,1.1046523910267267,1250845.0326386252,0.15033574961482565,79552.33939727371,2.1368806836086236,1250763.6295195448,0.2098991696878702,array_size,976
5fde06b552d8272478ff4049,8395479.0976006,1.759642704255901,16290940.633565232,2.6731271690153453,882278.9668816153,0.9239266335638785,16377346.881559862,2.3134942681465644,array_size,64
5fde06f852d8272478ff404d,617862.9173418898,0.7887424733026606,1294895.5209821942,0.2071502740452776,81759.43771904327,0.9282888990971865,1297621.3044557953,0.10024673349549854,array_size,944
5fde071352d8272478ff404f,578699.0499278081,1.3948836894328882,1215116.137758748,0.09623761290441125,77176.6505234513,1.3236326155403495,1216048.1644172636,0.08671156434602542,array_size,1008
5fde073752d8272478ff4051,646735.4587606248,2.4182339955511827,1354736.0856597736,0.24219388901813807,80185.72976279094,0.8385652670472717,1363095.1182708552,0.15147866670845753,array_size,896
5fde074752d8272478ff4054,751798.2521050716,0.3567048946454298,1551709.4413045472,0.3499050003521119,100093.62473024106,2.0176377251865327,1555746.2845674804,0.10000036679666602,array_size,784
