_id,results.Array_sum_reduce.performance,results.Array_sum_reduce.rme,results.Array_sum_for.performance,results.Array_sum_for.rme,results.Array_sum_for_of.performance,results.Array_sum_for_of.rme,results.Array_sum_recursive.performance,results.Array_sum_recursive.rme,results.Uint32_sum_reduce.performance,results.Uint32_sum_reduce.rme,results.Uint32_sum_for.performance,results.Uint32_sum_for.rme,results.Uint32_sum_for_of.performance,results.Uint32_sum_for_of.rme,results.Uint32_sum_recursive.performance,results.Uint32_sum_recursive.rme,subject.name,subject.value
5fd3cf692010da421cf30b47,3470676.4028015584,10.178336023485734,3819995.8576508574,1.6784211243965108,2888326.762161959,0.4975475416529461,396230.70152917656,0.9287866127882383,304484.5807820891,0.4105905195991461,4983351.635618882,0.17504563413152072,2201834.1428779233,1.4306653749269316,374620.507695068,0.3335349314032638,array_size,304
5fd3cf692010da421cf30b48,33146082.658961236,1.6739471468143676,45295074.72277515,0.5110021892594507,26904775.37949258,1.021304482690427,5221689.470428883,1.3321686994836,3357340.38046668,1.6374536588181166,42977218.85715402,8.359163812143693,21092363.23386591,3.0161651554707936,4949474.878772636,0.8059949767286856,array_size,24
5fd3cf9e2010da421cf30b54,1460254.031684588,0.6444597280421287,1517704.1059854154,0.1071083180375282,1124192.6858033673,0.30788825084959437,136785.8915204466,0.18389161791566797,117950.56561793239,0.21897741447797706,1861018.121509683,0.8232552627699878,851324.950372686,1.0211722267316041,127020.7028410276,1.101867081649992,array_size,803
5fd3cf9e2010da421cf30b56,3849537.863099353,15.431656616717937,4516788.158354497,2.003126926982048,3399321.052557511,4.852717653847954,484692.62290331005,0.7352104340497536,348314.62135725905,7.577568669399691,5914051.251156726,0.27885155872387907,2517574.1073300634,9.74339826626849,453487.24402225326,0.1825444100873528,array_size,253
5fd3cf9e2010da421cf30b55,1498202.6857305581,1.1330943980403265,1559483.0526234407,0.20922386717199407,1147404.6472900738,0.8106552975455662,138660.84607979978,1.327932679065896,120648.04686391016,0.4956928853553195,1913589.0837949777,0.9429771111563212,871524.7784515019,1.002237482358185,131463.0867097986,0.976087513361255,array_size,781
5fd3cf9e2010da421cf30b58,1432866.087717427,2.3224575849871196,1496224.7675489264,0.30191055404728273,1098095.749342188,1.8324898893837305,134636.81961451948,0.18797922652046167,113539.58861309706,2.374520660746171,1836968.0673650336,0.7633140619244491,853795.9600609918,1.3177754315828045,125550.18356147267,0.17500162406094824,array_size,814
5fd3cf9e2010da421cf30b59,1499877.6537461581,2.193737359286149,1533215.1022240839,0.8678293281170184,1152915.2398223917,0.36057237263083985,135718.18920964122,2.7073839204844736,116120.51394183528,5.355067340454224,1927572.0437072553,0.39288669724363556,894330.8093477332,1.0808492275770747,130692.27201772005,0.214692450121715,array_size,783
5fd3cf9e2010da421cf30b5a,1416662.1456527014,2.433313537646695,1492840.8220149968,0.10399318341067941,1073755.1097601007,3.332981419666745,132445.00942646936,1.2920714548061822,115182.01414557574,0.5980958471104096,1860052.5777688613,0.18426319084324166,839738.2857366552,1.1100428551997923,125207.12552483755,0.21095664122002805,array_size,815
5fd3cf9e2010da421cf30b5b,1480681.2309639538,2.7105891688505657,1542531.4023992366,0.24416983576910178,1130895.9783977147,1.731802779649136,138554.939704736,0.5277670689836792,118434.16568423247,0.4904989074903517,1918302.327920266,0.15243984441869185,871056.2738094806,1.1232697221724517,128920.69721776925,0.48452360518946846,array_size,791
5fd3cf9e2010da421cf30b5c,1483736.4774537573,2.9086731692929364,1551831.2256755845,0.20516708924251179,1150417.2104853035,0.4221998858621254,140029.79465840035,0.33825557320642347,119310.7331040035,0.4645155520977713,1933769.6921027338,0.22434894442305203,873857.0284388727,1.0550052816767996,130475.67390796695,0.4777256138750861,array_size,785
5fd3cf9e2010da421cf30b57,1443819.9612475652,4.286205478068327,1499051.252248132,1.7252999251373105,1121489.046266972,1.2277271315174907,136664.40925464273,0.4445966733841389,118266.88982514472,0.21198520938424592,1894596.968736742,0.19066140522760797,861073.2372172854,1.0098010468622198,127335.73398335211,0.39269916664244353,array_size,800
5fd3cfd42010da421cf30b63,1598886.853845046,1.1194431437470487,1656525.0524946928,0.25224715678206994,1224841.5118564279,0.9389849818826035,150351.92685870998,0.3716416194322701,128594.26807295629,1.0338838767206713,1997891.8356855898,5.724431736572592,932242.2259963042,1.1148633447721166,140818.40067188878,0.44877712045220863,array_size,733
5fd3cfd42010da421cf30b64,4765065.279070308,7.767480385383285,5164572.77877737,0.5123909198431575,3911746.15641051,1.231556584532017,569122.9156000761,1.0133614540506697,407313.6684644636,3.9394422637926088,6730124.532048973,0.6106157284629699,2920891.7167157615,6.306571117195316,530446.8092105127,0.24501575070878429,array_size,220
5fd3cfd42010da421cf30b65,6119165.139275675,6.894208209146006,6487300.651115838,2.175858697141502,5061329.8302898845,0.3632184591947942,754091.0106967179,0.4593328490405997,532671.4987705552,0.42203617113610314,8512494.888467483,0.8631806866294987,3594706.220300593,4.007982600119427,699600.6263836408,0.2267395963542637,array_size,169
5fd3cfd42010da421cf30b62,42671617.35569512,1.8838996539932236,43512689.76434968,3.2140590285804715,40917206.304086395,5.2284443618965915,7018409.298896381,0.7104573680252563,4616110.89758677,0.3959745824035265,54973668.05634769,2.691785903447032,27597143.32658836,5.0861614680555345,6779484.992238243,0.6264963245799663,array_size,17
5fd3d0092010da421cf30b6b,1632225.2865065571,7.436419671759394,1721328.1674168743,1.733659160499395,1287629.1059526415,1.3993406896380127,156442.10443669456,1.5114002409936,135829.86098337718,0.15291295567736854,2168305.8750243387,0.3894267794663177,955310.307412291,1.448933048738695,148098.52446675135,0.9822304375487092,array_size,696
5fd3d0092010da421cf30b6a,1375963.109353128,1.295394930403905,1457691.32663043,0.31669945251732323,1073327.850140675,1.0466532647370093,129039.45541512634,0.5651593980250326,112247.86423050646,1.1956264913093582,1811963.7149078478,0.09455612944685102,835334.1814575945,0.9464807198802149,121547.13833404635,0.21362205580211652,array_size,838
5fd3d0092010da421cf30b6c,4520640.248095585,7.935304420716028,4905804.490426561,0.38860207402393704,3627276.2292346084,3.2773739591354287,533925.376794199,1.3143897500438575,398377.67758536054,0.5329891793780595,6317948.149854806,0.2986525434529945,2665529.4884089245,7.608784375800546,497993.3646462225,0.66901461475787,array_size,233
